"DONNEES - Nombre d'activités exercées par les médecins"
"ANNEE - 2018"

,SEXE,"Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Ensemble tous sexes confondus","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Hommes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes","Femmes"
"Chirurgie vasculaire","Prévention",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie vasculaire","Autres secteurs",76,0,0,7,7,14,9,17,14,7,1,71,0,0,5,7,13,9,16,13,7,1,5,0,0,2,0,1,0,1,1,0,0
"Chirurgie vasculaire","Activités exercées par des remplaçants",30,0,4,5,4,0,5,0,2,5,5,19,0,1,1,2,0,4,0,1,5,5,11,0,3,4,2,0,1,0,1,0,0
"Chirurgie viscérale et digestive","ENSEMBLE",1653,0,73,216,192,298,372,339,107,37,19,1396,0,52,158,151,237,324,314,104,37,19,257,0,21,58,41,61,48,25,3,0,0
"Chirurgie viscérale et digestive","Hôpital public",601,0,34,73,78,113,129,129,36,9,0,486,0,19,53,54,87,113,117,34,9,0,115,0,15,20,24,26,16,12,2,0,0
"Chirurgie viscérale et digestive","Etablissement privé ESPIC",55,0,4,9,5,7,12,12,4,2,0,45,0,2,8,4,7,8,10,4,2,0,10,0,2,1,1,0,4,2,0,0,0
"Chirurgie viscérale et digestive","Etablissement privé lucratif",207,0,9,36,24,43,44,31,9,5,6,182,0,8,26,24,33,42,29,9,5,6,25,0,1,10,0,10,2,2,0,0,0
"Chirurgie viscérale et digestive","Centre de santé",7,0,0,1,0,0,1,3,2,0,0,7,0,0,1,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie viscérale et digestive","Cabinet individuel",177,0,8,19,18,37,36,37,14,5,3,141,0,8,10,11,30,26,34,14,5,3,36,0,0,9,7,7,10,3,0,0,0
"Chirurgie viscérale et digestive","Cabinet de groupe, société",409,0,16,62,47,59,99,76,30,13,7,365,0,13,46,45,48,89,74,30,13,7,44,0,3,16,2,11,10,2,0,0,0
"Chirurgie viscérale et digestive","Prévention",2,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chirurgie viscérale et digestive","Autres secteurs",164,0,1,13,10,35,48,46,9,1,1,144,0,1,12,8,29,42,42,8,1,1,20,0,0,1,2,6,6,4,1,0,0
"Chirurgie viscérale et digestive","Activités exercées par des remplaçants",31,0,1,3,10,3,2,5,3,2,2,24,0,1,2,5,2,2,5,3,2,2,7,0,0,1,5,1,0,0,0,0,0
"Dermatologie et vénéréologie","ENSEMBLE",5563,105,482,410,410,482,641,964,1188,637,244,1716,15,39,46,82,123,198,357,456,272,128,3847,90,443,364,328,359,443,607,732,365,116
"Dermatologie et vénéréologie","Hôpital public",1231,80,197,131,122,113,139,169,163,92,25,375,12,22,17,29,27,51,83,77,42,15,856,68,175,114,93,86,88,86,86,50,10
"Dermatologie et vénéréologie","Etablissement privé ESPIC",40,0,5,3,1,2,5,13,4,6,1,12,0,0,0,0,0,2,3,3,4,0,28,0,5,3,1,2,3,10,1,2,1
"Dermatologie et vénéréologie","Etablissement privé lucratif",104,1,4,12,10,12,19,17,16,9,4,37,0,0,0,0,6,9,6,7,5,4,67,1,4,12,10,6,10,11,9,4,0
"Dermatologie et vénéréologie","Centre de santé",410,0,16,19,13,26,28,79,114,84,31,126,0,1,1,0,7,9,25,40,29,14,284,0,15,18,13,19,19,54,74,55,17
"Dermatologie et vénéréologie","Cabinet individuel",1733,1,37,69,91,143,222,345,476,242,107,575,0,4,10,20,31,59,117,174,106,54,1158,1,33,59,71,112,163,228,302,136,53
"Dermatologie et vénéréologie","Cabinet de groupe, société",1420,2,77,101,121,138,173,270,343,155,40,423,0,5,10,19,32,44,99,127,69,18,997,2,72,91,102,106,129,171,216,86,22
"Dermatologie et vénéréologie","Prévention",16,0,0,0,0,4,2,1,5,3,1,4,0,0,0,0,0,0,0,1,2,1,12,0,0,0,0,4,2,1,4,1,0
"Dermatologie et vénéréologie","Autres secteurs",209,4,18,11,17,18,26,45,39,22,9,100,1,3,1,6,13,16,19,23,10,8,109,3,15,10,11,5,10,26,16,12,1
"Dermatologie et vénéréologie","Activités exercées par des remplaçants",400,17,128,64,35,26,27,25,28,24,26,64,2,4,7,8,7,8,5,4,5,14,336,15,124,57,27,19,19,20,24,19,12
"Endocrinologie et métabolisme","ENSEMBLE",2699,68,278,318,296,358,367,406,344,195,69,701,7,22,48,53,58,74,160,126,102,51,1998,61,256,270,243,300,293,246,218,93,18
"Endocrinologie et métabolisme","Hôpital public",1298,60,199,192,165,167,166,161,122,53,13,292,6,18,24,29,33,28,68,50,27,9,1006,54,181,168,136,134,138,93,72,26,4
"Endocrinologie et métabolisme","Etablissement privé ESPIC",82,0,8,12,15,16,11,7,8,4,1,21,0,1,0,3,3,4,4,2,3,1,61,0,7,12,12,13,7,3,6,1,0
"Endocrinologie et métabolisme","Etablissement privé lucratif",71,0,5,6,10,10,12,15,9,3,1,25,0,0,3,5,1,3,6,5,1,1,46,0,5,3,5,9,9,9,4,2,0
"Endocrinologie et métabolisme","Centre de santé",114,0,0,3,10,11,10,17,18,31,14,46,0,0,2,2,1,2,11,4,15,9,68,0,0,1,8,10,8,6,14,16,5
"Endocrinologie et métabolisme","Cabinet individuel",513,0,19,42,36,67,72,104,86,66,21,139,0,0,6,3,7,15,24,27,38,19,374,0,19,36,33,60,57,80,59,28,2
"Endocrinologie et métabolisme","Cabinet de groupe, société",376,0,17,34,40,66,67,57,64,22,9,97,0,0,7,7,8,14,24,21,10,6,279,0,17,27,33,58,53,33,43,12,3
"Endocrinologie et métabolisme","Prévention",20,0,1,1,0,7,1,5,3,0,2,1,0,0,0,0,0,0,1,0,0,0,19,0,1,1,0,7,1,4,3,0,2
"Endocrinologie et métabolisme","Autres secteurs",149,3,10,8,13,12,23,36,32,8,4,65,0,3,4,3,4,7,20,17,4,3,84,3,7,4,10,8,16,16,15,4,1
"Endocrinologie et métabolisme","Activités exercées par des remplaçants",76,5,19,20,7,2,5,4,2,8,4,15,1,0,2,1,1,1,2,0,4,3,61,4,19,18,6,1,4,2,2,4,1
"Génétique médicale","ENSEMBLE",280,6,40,37,27,31,33,46,37,15,8,88,3,15,8,6,13,11,15,9,6,2,192,3,25,29,21,18,22,31,28,9,6
"Génétique médicale","Hôpital public",233,5,36,33,21,30,28,35,28,12,5,76,3,14,8,4,13,9,12,8,5,0,157,2,22,25,17,17,19,23,20,7,5
"Génétique médicale","Etablissement privé ESPIC",2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0
"Génétique médicale","Etablissement privé lucratif",5,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,2,0,0
"Génétique médicale","Centre de santé",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Génétique médicale","Cabinet individuel",4,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,0
"Génétique médicale","Cabinet de groupe, société",4,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,1,0
"Génétique médicale","Prévention",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Génétique médicale","Autres secteurs",28,0,4,3,4,0,3,5,5,1,3,10,0,1,0,1,0,2,2,1,1,2,18,0,3,3,3,0,1,3,4,0,1
"Génétique médicale","Activités exercées par des remplaçants",2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0
"Gériatrie","ENSEMBLE",2422,4,103,233,323,426,493,471,228,110,31,1013,3,38,75,124,174,179,192,116,82,30,1409,1,65,158,199,252,314,279,112,28,1
"Gériatrie","Hôpital public",1252,1,79,136,165,216,256,246,110,37,6,497,0,28,49,60,87,79,103,60,25,6,755,1,51,87,105,129,177,143,50,12,0
"Gériatrie","Etablissement privé ESPIC",189,0,6,22,30,37,29,29,26,10,0,79,0,1,5,13,9,16,16,11,8,0,110,0,5,17,17,28,13,13,15,2,0
"Gériatrie","Etablissement privé lucratif",161,1,7,23,25,32,34,28,9,2,0,84,1,4,8,13,17,23,11,5,2,0,77,0,3,15,12,15,11,17,4,0,0
"Gériatrie","Centre de santé",21,0,0,0,3,3,5,5,1,2,2,11,0,0,0,0,3,1,3,1,1,2,10,0,0,0,3,0,4,2,0,1,0
"Gériatrie","Cabinet individuel",67,1,2,3,7,8,16,14,7,4,5,36,1,0,0,3,5,8,8,3,3,5,31,0,2,3,4,3,8,6,4,1,0
"Gériatrie","Cabinet de groupe, société",32,0,2,4,4,5,7,6,2,0,2,17,0,0,2,2,2,2,6,1,0,2,15,0,2,2,2,3,5,0,1,0,0
"Gériatrie","Prévention",10,0,0,1,2,2,2,2,0,1,0,4,0,0,1,1,0,1,0,0,1,0,6,0,0,0,1,2,1,2,0,0,0
"Gériatrie","Autres secteurs",615,1,5,37,79,104,135,130,68,43,13,237,1,4,9,27,35,42,40,32,35,12,378,0,1,28,52,69,93,90,36,8,1
"Gériatrie","Activités exercées par des remplaçants",75,0,2,7,8,19,9,11,5,11,3,48,0,1,1,5,16,7,5,3,7,3,27,0,1,6,3,3,2,6,2,4,0
"Gynécologie médicale","ENSEMBLE",3925,42,180,136,31,25,51,653,1646,774,387,1100,1,2,12,5,2,20,100,386,339,233,2825,41,178,124,26,23,31,553,1260,435,154
"Gynécologie médicale","Hôpital public",751,29,92,36,6,6,15,114,296,116,41,212,1,2,4,0,1,8,25,83,63,25,539,28,90,32,6,5,7,89,213,53,16
"Gynécologie médicale","Etablissement privé ESPIC",62,0,2,4,0,0,1,8,31,11,5,18,0,0,0,0,0,1,3,8,2,4,44,0,2,4,0,0,0,5,23,9,1
"Gynécologie médicale","Etablissement privé lucratif",136,0,3,3,2,1,1,16,55,34,21,85,0,0,0,1,0,0,4,39,24,17,51,0,3,3,1,1,1,12,16,10,4
"Gynécologie médicale","Centre de santé",270,0,3,2,5,5,6,40,92,63,54,71,0,0,0,1,1,2,5,14,14,34,199,0,3,2,4,4,4,35,78,49,20
"Gynécologie médicale","Cabinet individuel",1195,0,9,28,10,5,11,198,539,257,138,285,0,0,4,1,0,2,18,95,94,71,910,0,9,24,9,5,9,180,444,163,67
"Gynécologie médicale","Cabinet de groupe, société",990,0,19,32,3,6,7,198,455,200,70,311,0,0,1,2,0,3,35,121,101,48,679,0,19,31,1,6,4,163,334,99,22
"Gynécologie médicale","Prévention",161,0,0,2,3,2,2,42,73,23,14,17,0,0,0,0,0,0,1,4,4,8,144,0,0,2,3,2,2,41,69,19,6
"Gynécologie médicale","Autres secteurs",143,5,6,11,1,0,3,23,56,23,15,48,0,0,2,0,0,2,6,16,12,10,95,5,6,9,1,0,1,17,40,11,5
"Gynécologie médicale","Activités exercées par des remplaçants",217,8,46,18,1,0,5,14,49,47,29,53,0,0,1,0,0,2,3,6,25,16,164,8,46,17,1,0,3,11,43,22,13
"Gynécologie-obstétrique","ENSEMBLE",7668,60,891,1260,1232,818,886,983,895,453,190,4035,9,127,343,578,444,509,706,740,400,179,3633,51,764,917,654,374,377,277,155,53,11
"Gynécologie-obstétrique","Hôpital public",2845,50,593,523,388,269,267,319,295,106,35,1279,8,84,127,170,143,156,233,236,92,30,1566,42,509,396,218,126,111,86,59,14,5
"Gynécologie-obstétrique","Etablissement privé ESPIC",235,0,23,54,46,19,30,20,24,13,6,102,0,3,12,11,7,16,13,22,12,6,133,0,20,42,35,12,14,7,2,1,0
"Gynécologie-obstétrique","Etablissement privé lucratif",643,0,36,102,139,65,89,77,63,54,18,423,0,1,43,83,45,63,62,58,50,18,220,0,35,59,56,20,26,15,5,4,0
"Gynécologie-obstétrique","Centre de santé",128,0,9,27,11,6,19,15,18,8,15,65,0,0,5,4,2,10,9,14,6,15,63,0,9,22,7,4,9,6,4,2,0
"Gynécologie-obstétrique","Cabinet individuel",993,0,22,104,182,118,159,145,150,73,40,542,0,7,23,83,40,81,85,124,62,37,451,0,15,81,99,78,78,60,26,11,3
"Gynécologie-obstétrique","Cabinet de groupe, société",1678,0,67,258,293,220,204,248,202,135,51,998,0,6,79,139,129,110,183,177,124,51,680,0,61,179,154,91,94,65,25,11,0
"Gynécologie-obstétrique","Prévention",56,0,0,9,5,1,13,7,16,3,2,20,0,0,0,2,1,3,3,6,3,2,36,0,0,9,3,0,10,4,10,0,0
"Gynécologie-obstétrique","Autres secteurs",677,4,45,70,112,86,87,136,104,29,4,453,1,11,28,69,62,61,109,86,23,3,224,3,34,42,43,24,26,27,18,6,1
"Gynécologie-obstétrique","Activités exercées par des remplaçants",413,6,96,113,56,34,18,16,23,32,19,153,0,15,26,17,15,9,9,17,28,17,260,6,81,87,39,19,9,7,6,4,2
"Hématologie","ENSEMBLE",853,14,167,143,111,139,176,80,18,3,2,397,6,52,53,38,69,111,51,14,1,2,456,8,115,90,73,70,65,29,4,2,0
"Hématologie","Hôpital public",595,9,130,113,76,98,97,58,11,2,1,260,2,40,43,26,49,55,36,8,0,1,335,7,90,70,50,49,42,22,3,2,0
"Hématologie","Etablissement privé ESPIC",18,1,2,2,1,5,3,4,0,0,0,4,1,0,0,0,0,1,2,0,0,0,14,0,2,2,1,5,2,2,0,0,0
"Hématologie","Etablissement privé lucratif",17,0,1,1,5,3,5,0,2,0,0,8,0,0,0,2,0,4,0,2,0,0,9,0,1,1,3,3,1,0,0,0,0
"Hématologie","Centre de santé",4,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0
"Hématologie","Cabinet individuel",19,0,2,2,0,5,7,3,0,0,0,12,0,0,2,0,4,4,2,0,0,0,7,0,2,0,0,1,3,1,0,0,0
"Hématologie","Cabinet de groupe, société",67,0,5,1,10,11,30,8,1,0,1,49,0,2,0,4,7,27,7,1,0,1,18,0,3,1,6,4,3,1,0,0,0
"Hématologie","Prévention",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"Hématologie","Autres secteurs",115,3,13,22,18,17,31,6,4,1,0,55,2,4,8,6,9,19,3,3,1,0,60,1,9,14,12,8,12,3,1,0,0
"Hématologie","Activités exercées par des remplaçants",16,1,13,1,0,0,1,0,0,0,0,8,1,6,0,0,0,1,0,0,0,0,8,0,7,1,0,0,0,0,0,0,0
"Gastro-entérologie et hépatologie","ENSEMBLE",6507,168,589,536,482,718,996,1207,1143,499,169,4421,51,211,224,213,412,718,1002,967,461,162,2086,117,378,312,269,306,278,205,176,38,7
"Gastro-entérologie et hépatologie","Hôpital public",2217,140,350,236,191,229,312,334,278,118,29,1314,40,123,104,86,118,208,268,231,107,29,903,100,227,132,105,111,104,66,47,11,0
"Gastro-entérologie et hépatologie","Etablissement privé ESPIC",190,5,14,22,18,25,27,26,34,15,4,121,3,4,9,6,11,20,19,30,15,4,69,2,10,13,12,14,7,7,4,0,0
"Gastro-entérologie et hépatologie","Etablissement privé lucratif",994,0,46,79,66,120,173,203,201,82,24,721,0,14,28,25,73,129,177,174,78,23,273,0,32,51,41,47,44,26,27,4,1
"Gastro-entérologie et hépatologie","Centre de santé",170,2,2,3,3,16,19,34,54,26,11,126,2,0,1,1,4,13,29,44,22,10,44,0,2,2,2,12,6,5,10,4,1
"Gastro-entérologie et hépatologie","Cabinet individuel",711,2,16,28,37,55,115,180,157,82,39,526,0,8,10,14,25,91,149,122,71,36,185,2,8,18,23,30,24,31,35,11,3
"Gastro-entérologie et hépatologie","Cabinet de groupe, société",1651,3,108,106,121,217,257,314,353,136,36,1220,0,37,42,61,139,201,266,309,130,35,431,3,71,64,60,78,56,48,44,6,1
"Gastro-entérologie et hépatologie","Prévention",24,0,1,0,1,0,5,8,5,1,3,8,0,1,0,0,0,2,0,1,1,3,16,0,0,0,1,0,3,8,4,0,0
"Gastro-entérologie et hépatologie","Autres secteurs",379,2,12,32,37,47,76,91,52,22,8,285,1,8,20,19,36,46,79,48,20,8,94,1,4,12,18,11,30,12,4,2,0
"Gastro-entérologie et hépatologie","Activités exercées par des remplaçants",171,14,40,30,8,9,12,17,9,17,15,100,5,16,10,1,6,8,15,8,17,14,71,9,24,20,7,3,4,2,1,0,1
"Médecine du travail","ENSEMBLE",5794,37,280,309,404,505,821,982,1494,782,180,1772,10,82,98,98,106,221,316,428,314,99,4022,27,198,211,306,399,600,666,1066,468,81
"Médecine du travail","Hôpital public",543,6,40,38,48,50,72,115,109,57,8,153,2,13,14,9,14,23,41,14,19,4,390,4,27,24,39,36,49,74,95,38,4
"Médecine du travail","Etablissement privé ESPIC",20,0,0,1,0,4,3,5,5,2,0,10,0,0,1,0,2,2,1,3,1,0,10,0,0,0,0,2,1,4,2,1,0
"Médecine du travail","Etablissement privé lucratif",7,0,0,0,1,3,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,3,0,0,1,1,0
"Médecine du travail","Centre de santé",55,0,3,5,4,7,11,15,3,6,1,18,0,0,2,1,1,2,6,2,3,1,37,0,3,3,3,6,9,9,1,3,0
"Médecine du travail","Cabinet individuel",10,0,0,0,2,0,1,2,1,2,2,4,0,0,0,1,0,0,1,0,0,2,6,0,0,0,1,0,1,1,1,2,0
"Médecine du travail","Cabinet de groupe, société",5,0,0,0,2,1,1,1,0,0,0,3,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0
"Médecine du travail","Prévention",3613,27,182,199,261,303,468,548,958,536,131,1083,7,47,57,57,65,115,170,282,219,64,2530,20,135,142,204,238,353,378,676,317,67
"Médecine du travail","Autres secteurs",1466,4,53,60,84,135,253,292,400,157,28,476,1,21,22,28,23,76,96,123,66,20,990,3,32,38,56,112,177,196,277,91,8
"Médecine du travail","Activités exercées par des remplaçants",75,0,2,6,2,2,11,4,17,21,10,24,0,1,2,0,1,2,0,4,6,8,51,0,1,4,2,1,9,4,13,15,2
"Médecine interne","ENSEMBLE",2848,21,338,311,267,334,327,317,405,334,194,1683,9,138,117,114,150,177,220,293,285,180,1165,12,200,194,153,184,150,97,112,49,14
"Médecine interne","Hôpital public",1926,19,295,255,204,247,230,212,235,163,66,1061,8,118,99,88,115,122,144,171,137,59,865,11,177,156,116,132,108,68,64,26,7
"Médecine interne","Etablissement privé ESPIC",127,0,5,14,13,12,22,22,19,16,4,71,0,2,5,5,5,9,14,13,14,4,56,0,3,9,8,7,13,8,6,2,0
"Médecine interne","Etablissement privé lucratif",88,0,5,10,11,21,8,5,11,9,8,47,0,2,2,4,7,7,3,9,6,7,41,0,3,8,7,14,1,2,2,3,1
"Médecine interne","Centre de santé",71,0,0,0,1,3,7,5,16,20,19,56,0,0,0,0,1,4,5,13,17,16,15,0,0,0,1,2,3,0,3,3,3
"Médecine interne","Cabinet individuel",142,0,2,3,5,8,9,15,29,30,41,112,0,0,0,2,4,5,11,21,28,41,30,0,2,3,3,4,4,4,8,2,0
"Médecine interne","Cabinet de groupe, société",168,0,3,11,8,18,22,17,33,35,21,125,0,0,4,3,9,15,15,25,33,21,43,0,3,7,5,9,7,2,8,2,0
"Médecine interne","Prévention",16,0,3,0,4,1,0,2,0,2,4,8,0,3,0,1,0,0,1,0,1,2,8,0,0,0,3,1,0,1,0,1,2
"Médecine interne","Autres secteurs",208,0,4,8,14,17,22,30,52,39,22,144,0,0,4,10,8,11,21,36,33,21,64,0,4,4,4,9,11,9,16,6,1
"Médecine interne","Activités exercées par des remplaçants",102,2,21,10,7,7,7,9,10,20,9,59,1,13,3,1,1,4,6,5,16,9,43,1,8,7,6,6,3,3,5,4,0
"Médecine nucléaire","ENSEMBLE",1339,47,221,209,222,128,148,158,135,57,14,869,31,143,129,153,74,76,114,95,42,12,470,16,78,80,69,54,72,44,40,15,2
"Médecine nucléaire","Hôpital public",441,32,89,71,62,37,37,53,38,19,3,260,20,56,43,35,17,19,37,17,13,3,181,12,33,28,27,20,18,16,21,6,0
"Médecine nucléaire","Etablissement privé ESPIC",15,0,1,4,0,1,5,1,1,2,0,9,0,1,2,0,1,3,0,1,1,0,6,0,0,2,0,0,2,1,0,1,0
"Médecine nucléaire","Etablissement privé lucratif",58,0,3,4,23,5,13,3,6,1,0,41,0,2,3,18,4,5,3,6,0,0,17,0,1,1,5,1,8,0,0,1,0
"Médecine nucléaire","Centre de santé",3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0
"Médecine nucléaire","Cabinet individuel",44,0,3,8,4,6,6,5,5,5,2,31,0,3,5,1,5,5,4,4,2,2,13,0,0,3,3,1,1,1,1,3,0
"Médecine nucléaire","Cabinet de groupe, société",419,2,48,48,84,45,50,65,61,13,3,333,1,45,31,74,35,27,49,57,11,3,86,1,3,17,10,10,23,16,4,2,0
"Médecine nucléaire","Prévention",3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,0
"Médecine nucléaire","Autres secteurs",270,6,43,53,44,33,28,31,19,11,2,151,4,20,37,21,12,15,21,10,9,2,119,2,23,16,23,21,13,10,9,2,0
"Médecine nucléaire","Activités exercées par des remplaçants",86,7,34,21,5,0,7,0,2,6,4,44,6,16,8,4,0,2,0,0,6,2,42,1,18,13,1,0,5,0,2,0,2
"Médecine physique et réadaptation","ENSEMBLE",2853,73,282,229,265,289,357,361,555,321,121,1433,31,88,73,102,112,171,162,347,243,104,1420,42,194,156,163,177,186,199,208,78,17
"Médecine physique et réadaptation","Hôpital public",899,40,142,88,80,101,121,92,142,78,15,381,16,47,29,26,40,50,37,76,48,12,518,24,95,59,54,61,71,55,66,30,3
"Médecine physique et réadaptation","Etablissement privé ESPIC",538,16,57,46,77,58,79,74,87,38,6,236,4,8,17,26,19,37,29,57,33,6,302,12,49,29,51,39,42,45,30,5,0
"Médecine physique et réadaptation","Etablissement privé lucratif",309,3,21,22,39,52,45,45,48,25,9,174,1,5,6,19,26,29,19,37,24,8,135,2,16,16,20,26,16,26,11,1,1
"Médecine physique et réadaptation","Centre de santé",42,0,4,2,2,4,7,4,7,9,3,28,0,0,1,1,2,6,4,4,9,1,14,0,4,1,1,2,1,0,3,0,2
"Médecine physique et réadaptation","Cabinet individuel",261,1,7,8,22,11,18,37,96,46,15,195,1,4,5,10,5,16,25,75,41,13,66,0,3,3,12,6,2,12,21,5,2
"Médecine physique et réadaptation","Cabinet de groupe, société",189,0,14,7,10,10,17,26,56,30,19,151,0,11,4,10,5,11,22,43,26,19,38,0,3,3,0,5,6,4,13,4,0
"Médecine physique et réadaptation","Prévention",13,0,1,0,0,0,2,2,3,4,1,8,0,1,0,0,0,0,0,2,4,1,5,0,0,0,0,0,2,2,1,0,0
"Médecine physique et réadaptation","Autres secteurs",507,3,21,51,30,43,63,76,107,72,41,206,1,5,9,9,11,21,22,47,45,36,301,2,16,42,21,32,42,54,60,27,5
"Médecine physique et réadaptation","Activités exercées par des remplaçants",95,10,15,5,5,10,5,5,9,19,12,54,8,7,2,1,4,1,4,6,13,8,41,2,8,3,4,6,4,1,3,6,4
"Néphrologie","ENSEMBLE",2674,79,378,328,305,300,374,331,324,182,73,1593,28,161,162,137,165,245,245,241,147,62,1081,51,217,166,168,135,129,86,83,35,11
"Néphrologie","Hôpital public",1217,70,242,162,134,133,142,149,111,57,17,658,23,97,72,60,67,92,116,77,40,14,559,47,145,90,74,66,50,33,34,17,3
"Néphrologie","Etablissement privé ESPIC",71,0,6,6,13,13,7,7,13,3,3,36,0,2,2,6,6,6,3,7,3,1,35,0,4,4,7,7,1,4,6,0,2
"Néphrologie","Etablissement privé lucratif",63,0,6,9,11,5,11,9,8,4,0,46,0,4,7,6,4,5,9,7,4,0,17,0,2,2,5,1,6,0,1,0,0
"Néphrologie","Centre de santé",120,1,7,10,16,10,27,19,16,10,4,68,1,4,2,5,4,18,10,11,9,4,52,0,3,8,11,6,9,9,5,1,0
"Néphrologie","Cabinet individuel",173,0,8,16,22,20,28,24,25,18,12,124,0,7,7,11,14,19,19,20,16,11,49,0,1,9,11,6,9,5,5,2,1
"Néphrologie","Cabinet de groupe, société",478,0,30,63,57,64,75,59,78,39,13,324,0,15,39,27,40,55,41,64,34,9,154,0,15,24,30,24,20,18,14,5,4
"Néphrologie","Prévention",2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"Néphrologie","Autres secteurs",426,2,41,43,45,48,77,55,66,35,14,260,1,14,21,20,27,43,40,51,30,13,166,1,27,22,25,21,34,15,15,5,1
"Néphrologie","Activités exercées par des remplaçants",124,6,38,19,6,6,7,9,7,16,10,76,3,18,12,2,2,7,7,4,11,10,48,3,20,7,4,4,0,2,3,5,0
"Neurochirurgie","ENSEMBLE",826,6,88,127,98,111,124,125,85,43,19,719,4,69,103,77,97,113,116,81,40,19,107,2,19,24,21,14,11,9,4,3,0
"Neurochirurgie","Hôpital public",414,5,69,80,53,40,52,51,33,24,7,339,3,51,62,42,29,47,47,29,22,7,75,2,18,18,11,11,5,4,4,2,0
"Neurochirurgie","Etablissement privé ESPIC",27,0,2,6,6,3,2,3,4,0,1,24,0,1,5,6,3,1,3,4,0,1,3,0,1,1,0,0,1,0,0,0,0
"Neurochirurgie","Etablissement privé lucratif",71,0,3,8,4,16,13,14,10,2,1,68,0,3,8,2,16,12,14,10,2,1,3,0,0,0,2,0,1,0,0,0,0
"Neurochirurgie","Centre de santé",4,0,0,0,0,1,0,0,3,0,0,4,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurochirurgie","Cabinet individuel",79,0,2,4,9,15,16,15,10,2,6,72,0,2,4,8,13,15,12,10,2,6,7,0,0,0,1,2,1,3,0,0,0
"Neurochirurgie","Cabinet de groupe, société",141,0,6,20,14,26,23,24,19,7,2,132,0,6,19,10,25,21,24,19,6,2,9,0,0,1,4,1,2,0,0,1,0
"Neurochirurgie","Prévention",3,0,0,0,1,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"Neurochirurgie","Autres secteurs",71,0,0,5,10,9,16,17,6,7,1,65,0,0,4,8,9,15,15,6,7,1,6,0,0,1,2,0,1,2,0,0,0
"Neurochirurgie","Activités exercées par des remplaçants",16,1,6,4,1,1,1,1,0,0,1,13,1,6,1,1,1,1,1,0,0,1,3,0,0,3,0,0,0,0,0,0,0
"Neurologie","ENSEMBLE",3511,105,462,417,401,420,525,471,421,212,77,1862,42,135,150,189,199,304,310,310,164,59,1649,63,327,267,212,221,221,161,111,48,18
"Neurologie","Hôpital public",2075,93,369,288,255,258,278,240,171,97,26,1006,39,112,101,110,115,167,154,119,72,17,1069,54,257,187,145,143,111,86,52,25,9
"Neurologie","Etablissement privé ESPIC",105,3,15,13,9,15,15,10,16,4,5,55,1,7,3,5,6,8,4,13,4,4,50,2,8,10,4,9,7,6,3,0,1
